id,correct answer,CoT answers,Correctness,LEN,"('QUA', 'IM')","('DIF', 'IV')","('DIF', 'SUB')",AC
10,366,"['252' '6600 3 60 3 0 7 60 180 126 366' '222' '222'
 '6600 3 60 3 0 3 60 3 60 180 126 366' '222' '222' '222' '222' '222' '222'
 '222' '222' '222' '366' '252' '222' '6600 3 60 3 0 3 60 3 60 180 126 366'
 '222' '222' '222' '222' '222' '222' '366' '252' '366' '222' '252' '222'
 '222' '222' '222' '222' '222' '366' '222' '222' '222' '222']","[False False False False False False False False False False False False
 False False  True False False False False False False False False False
  True False  True False False False False False False False False  True
 False False False False]","[3 3 3 4 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False False False  True False False  True  True  True  True  True  True
  True  True False False False False False  True  True  True  True  True
 False False False False False False  True  True  True  True  True False
 False  True  True  True]"
11,694,"['694' '694' '694' '694' '694' '694' '694' '694' '694' '694' '694' '694'
 '694' '694' '694' '694' '694' '694' '694' '694' '694' '694' '694' '694'
 '694' '694' '694' '694' '694' '694' '694' '694' '694' '694' '694'
 '204 160 336094' '694' '694' '694' '694']","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True False
  True  True  True  True]","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True False
 False  True  True  True]"
12,13,"['12' '12' '12' '60' '12' '12' '12' '20' '12' '6' '12' '12' '6' '20' '12'
 '12' '7' '7' '12' '9' '12' '12' '12' '6' '12' '6' '12' '12' '20' '12'
 '12' '12' '12' '12' '12' '12' '20' '12' '12' '9']","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]","[5 5 2 8 5 5 5 4 5 3 4 2 4 4 5 5 3 2 4 4 5 5 5 3 5 3 5 2 4 5 5 5 5 5 4 4 5
 5 5 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False  True  True False False  True  True False False False False  True
 False False False  True False  True False False False  True  True False
 False False False  True False False  True  True  True  True  True  True
 False False  True False]"
13,18,"['18' '21' '18' '18' '18' '18' '18' '18' '18' '42' '18' '18' '18' '18'
 '18' '18' '18' '18' '18' '18' '18' '18' '18' '18' '42' '24' '18' '24'
 '18' '18' '18' '18' '18' '39' '18' '42' '33' '30' '18' '18']","[ True False  True  True  True  True  True  True  True False  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
 False False  True False  True  True  True  True  True False  True False
 False False  True  True]","[ 6  8  7  6  7  9  7  6  6  7  7  7  7  8  8  8  7  7  7  7 10  7  7  7
  7  7  7  7  7  7  6  6  7  8  6  7  7  9  7  6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False False False  True  True  True  True  True  True False False  True
  True  True  True  True  True  True  True  True  True  True  True  True
 False False False False False  True  True  True  True False False False
 False False False  True]"
14,60,"['60' '60' '60' '60' '60' '60' '60' '60' '60' '60' '60' '60' '60' '60'
 '60' '60' '60' '60' '60' '60' '60' '60' '60' '60' '60' '60' '60' '60'
 '60' '60' '60' '60' '60' '60' '60' '60' '60' '60' 'error' '60']","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True False  True]","[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5
 5 0 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[ 2  0  0  0  2  0  0  2  0  0  0  0  2  2  0  0  0  5  2  2  0  0  2  0
  0  0  5  0  0  2  0  0  2  0  0  2  5  0 10  2]",Math,"[False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True False False]"
15,125,"['error' 'error' '125' 'error' '125 96' '125' 'error' 'error' 'error'
 'error' '125' '125' '125' '125' '125' 'error' 'error' 'error' '125'
 'error' 'error' '125' '125' 'error' 'error' '125' '125' 'error' 'error'
 'error' 'error' '125' 'error' '125' '125' 'error' '125' '125' 'error'
 'error']","[False False  True False False  True False False False False  True  True
  True  True  True False False False  True False False  True  True False
 False  True  True False False False False  True False  True  True False
  True  True False False]","[3 4 4 5 3 4 4 3 4 4 5 4 4 4 4 4 4 4 4 4 3 5 4 3 4 4 3 3 3 3 4 4 4 5 4 3 5
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False  True False False False False False  True  True  True False  True
  True  True  True False  True  True False False  True False  True False
  True False  True False  True  True  True False False False  True False
 False  True False  True]"
16,230,"['120' '230' '230' '230' '230' '115' '230' '230' '230' '230' '230' '230'
 '230' '230' '230' '230' '230' '230' '230' '230' '230' '230' '230' '230'
 '230' '115' '230' '230' '230' '230' '230' '230' '40 110' '40 110 150'
 '230' '230' '230' '230' '230' '230']","[False  True  True  True  True False  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False  True  True  True  True  True  True False False  True  True
  True  True  True  True]","[4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 4 3 3 3
 3 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2]",Math,"[False False  True  True  True False False  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True False False  True  True  True  True  True False False False  True
  True  True  True  True]"
17,57500,"['57500' '57500' '57500' '57500' '57500' '57500' '57500' '57500' '57500'
 '57500' '57500' '57500' '50000' '57 500' '57500' '57500' '57500' '57500'
 '57500' '57500' '57500' '57500' '57500' '57500' '57500' '57500' '57500'
 '57500' '57500' '57500' '57500' '57500' '57500' '57500' '57500' '57500'
 '57500' '57500' '57500' '57500']","[ True  True  True  True  True  True  True  True  True  True  True  True
 False False  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]","[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
 3 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 5 0 2 2 0 0 0 0 0 0 0
 0 0 0]",Math,"[False  True  True  True  True  True  True  True  True  True  True  True
 False False False  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]"
18,7,"['7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7'
 '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7'
 '7' '7' '7' '7']","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]","[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4
 4 4 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 2 0 0]",Math,"[False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]"
19,6,"['12' '6' '4' '6' '4' '12' '6' '6' '6' '12' '6' '12' '6' '4' '6' '4' '4'
 '6' '6' '4' '6' '4' '6' '6' '6' '4' '6' '4' '4' '4' '4' '4' '4' '6' '6'
 '4' '4' '6' '4' '4']","[False  True False  True False False  True  True  True False  True False
  True False  True False False  True  True False  True False  True  True
  True False  True False False False False False False  True  True False
 False  True False False]","[4 4 4 5 4 5 5 4 5 4 5 5 4 4 4 4 4 5 4 5 5 4 4 4 5 4 4 5 4 4 4 5 3 4 5 4 5
 3 4 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False False False False False False False  True  True False False False
 False False False False  True False  True False False False False  True
  True False False False  True  True  True  True  True False  True False
  True False False  True]"
20,15,"['14 4' '14 67' '60111' '14 4' '24 232 25' '14 4' '14 4' '14 4' '14 4'
 '15 01' '14 4' '14 4' '601125' '14 4' '14 4' '14 4' '14 4' '14 4' '8 2 3'
 '44 3' '14 4' '14 4' '336 25' '14 4' '14 4' '14 4' '14 4' '88' '14 4'
 '14 4' '15 69' '14 4' '9 79' '14 4' '601125' '14 4' '32' '14 4' '14 4'
 '14 4']","[False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False False False False False False False False False
 False False False False]","[ 5  8  9  5  6  6  6  5  6  7  6  5  7  5  5  5  9  5  8  8  4  5 10  6
  9  5  6 14  5  5  6  5  9  9  7  5  5  6  4  5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False False False False False False  True  True  True False False  True
 False False  True  True  True  True False False False  True False False
  True  True  True False False  True False False False False False False
 False False  True  True]"
21,14,"['14' '14' '9' '23' '23' '14' '14' '14' '14' '23' '14' '14' '14' '14' '14'
 '14' '14' '14' '14' '23' '14' '14' '14' '9' '23' '14' '2' '14' '14' '14'
 '14' '14' '14' '14' '23' '14' '14' '14' '14' '14']","[ True  True False False False  True  True  True  True False  True  True
  True  True  True  True  True  True  True False  True  True  True False
 False  True False  True  True  True  True  True  True  True False  True
  True  True  True  True]","[7 7 9 9 7 7 7 7 7 7 8 7 7 7 7 7 7 8 7 7 7 7 7 9 8 6 9 7 7 7 7 7 7 6 8 6 9
 7 7 7]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False  True False False  True False  True  True  True False False  True
  True  True  True  True  True  True  True False False  True  True False
 False False False False  True  True  True  True  True  True False False
  True  True  True  True]"
22,7,"['7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7'
 '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7' '7'
 '7' '7' '7' '7']","[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]","[4 5 4 4 4 5 5 5 4 4 4 5 4 5 4 5 5 5 4 4 5 4 4 4 4 5 5 4 4 5 5 5 5 5 4 4 5
 5 4 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]",Math,"[False  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]"
23,8,"['8' '8' '8 1 00 5 00' '8' '8' '8' '8' '8' '8' '8' 'error' '8' '8' '8' '8'
 '8' '8' '8' '8' '8' '8' '8' '8 1 00 5 00' '8' '8' '8' '8' '8' '8' '8' '8'
 '8' '8' '8' '8' '8 1 00 5 00' '8' '8' '8' '8']","[ True  True False  True  True  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True  True  True False  True
  True  True  True  True  True  True  True  True  True  True  True False
  True  True  True  True]","[3 3 2 3 2 3 3 4 3 3 0 3 3 3 4 3 3 4 3 2 3 2 2 3 3 3 4 3 3 3 3 3 3 3 3 3 3
 2 3 3]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[ 2  2  2  0  0  2  2  0  0  2 10  0  0  2  5  2  0  0  0  0  0  0  0  0
  0  0  0  2  0  0  0  0  0  2  0  0  2  0  0  0]",Math,"[False  True False False  True  True  True  True  True  True False False
  True  True  True  True  True  True  True  True  True  True False False
  True  True  True  True  True  True  True  True  True  True  True False
 False  True  True  True]"
24,26,"['26' '26' '26' '26' 'error' '26' 'error' '26' '26' 'error' 'error' '26'
 '26' '26' '26' '26' '26' '26' 'error' '26' '26' '26' '26' '26' 'error'
 '26' '26' '26' '26' '26' 'error' '26' '26' 'error' '26' 'error' '26' '26'
 '26' '26']","[ True  True  True  True False  True False  True  True False False  True
  True  True  True  True  True  True False  True  True  True  True  True
 False  True  True  True  True  True False  True  True False  True False
  True  True  True  True]","[6 7 5 4 0 4 0 4 4 0 0 4 6 4 6 5 4 4 0 4 4 4 4 4 0 4 4 5 4 4 0 4 5 0 6 0 4
 4 5 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]","[ 9  5  0  2 10  9 10  0  0 10 10  0  5  2  2  0  9  9 10  2  0  0  9  0
 10  0  0  5  2  5 10  0  5 10  0 10  5  0  0  5]",Math,"[False  True  True  True False False False False  True False  True False
  True  True  True  True  True  True False False  True  True  True  True
 False False  True  True  True  True False False  True False False False
 False  True  True  True]"
